序號,縣市,機構名稱,機構地址,聯絡電話,藥癮_藥物治療,藥癮_維持治療_美沙冬,藥癮_維持治療_丁基原啡因,藥癮_心理治療,藥癮_家族治療,藥癮_職能治療,藥癮_個案管理,藥癮_生活重建,藥癮_美沙冬跨區給藥,藥癮_美沙冬給藥點,酒癮_藥物治療,酒癮_心理治療,酒癮_家族治療,酒癮_職能治療,酒癮_個案管理,酒癮_生活重建,經度 (lng),緯度 (lat)
171,高雄市,義大醫療財團法人義大醫院,高雄市燕巢區角宿里義大路1號,07-6150011,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.364451,22.765521
172,高雄市,財團法人私立高雄醫學大學附設中和紀念醫院,高雄市三民區十全一路100號,07-3121101,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.310001,22.645178
173,高雄市,財團法人台灣省私立高雄仁愛之家附設慈惠醫院,高雄市大寮區後庄里鳳屏一路509號,07-7030315,V,V,V,V,V,,V,,V,,V,V,V,V,V,,120.397505,22.639236
174,高雄市,樂安醫院,高雄市岡山區後協里通校路300號,07-6256791,V,,V,V,,,V,,,,V,V,,,,,120.281156,22.792445
175,高雄市,高雄市立岡山醫院（委託秀傳醫療社團法人經營）,高雄市岡山區壽天路12號,07-6222131,V,V,,,,,,,,,V,,,,V,,120.294443,22.796612
176,高雄市,高雄市立旗津醫院（委託財團法人私立高雄醫學大學經營）,高雄市旗津區旗港路33號,07-5711188,,V,,,,,,,,V,,V,V,V,V,V,120.285113,22.590209
177,高雄市,高雄市立鳳山醫院（委託長庚醫療財團法人經營）,高雄市鳳山區經武路42號、42-1號,07-7418151,,,,,,,,,,,V,V,,,V,,120.362776,22.629017
178,高雄市,陽光診所,高雄市左營區自由三路176號2樓,07-3412598,V,,V,,,,,,,,,,,,,,120.311359,22.671741
179,高雄市,幸生診所,高雄市新興區華聲里民生一路240號,07-2151357,V,,V,,,,V,,,,,,,,,,120.306974,22.627825
180,高雄市,靜安診所,高雄市苓雅區大順三路197號1樓,07-2239025,V,,V,,,,,,,,,,,,,,120.326121,22.634671
181,高雄市,維心診所,高雄市岡山區岡山路314號,07-6231829,V,,V,,,,,,,,,,,,,,120.29601,22.793731
182,高雄市,耕心療癒診所,高雄市左營區曾子路332號1樓,07-3592011,,,,,,,,,,,,V,V,,,,120.306861,22.680174
183,高雄市,冬勝診所,高雄市苓雅區中正一路472號,07-7278392,,,,,,,,,,,V,V,V,,V,,120.323795,22.630047
184,高雄市,心托邦心理治療所,高雄市苓雅區中正二路131號,983769055,,,,V,V,,,,,,,,,,,,120.315548,22.630178
185,屏東縣,衛生福利部屏東醫院,屏東縣屏東市自由路270號,08-7363011,V,V,V,V,V,V,V,,V,,,,,,,,120.495546,22.673264
186,屏東縣,國軍高雄總醫院屏東分院附設民眾診療服務處,屏東縣屏東市大湖路58巷22號,08-7560756,V,,,V,,V,V,,,,V,V,,V,V,,120.487574,22.633503
187,屏東縣,屏東榮民總醫院龍泉分院,屏東縣內埔鄉龍潭村昭勝路安平1巷1號,08-7704115,V,V,,V,V,,V,,,,,,,,,,120.599009,22.674418
188,屏東縣,安泰醫療社團法人安泰醫院,屏東縣東港鎮興東里中正路一段210號,08-8329966,V,V,V,V,,,V,V,V,,V,V,,,V,,120.459127,22.474326
189,屏東縣,屏安醫療社團法人屏安醫院,屏東縣麟洛鄉中山路160-1號,08-7211777,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.528129,22.650428
190,屏東縣,佑青醫療財團法人佑青醫院,屏東縣內埔鄉建興村建興路218巷19號,08-7705115,V,,,V,V,V,V,,,,V,V,V,V,V,,120.567556,22.66607
191,屏東縣,迦樂醫療財團法人迦樂醫院,屏東縣新埤鄉箕湖村進化路12之200號,985652350,V,,V,V,V,V,V,V,,,V,V,V,V,V,V,120.615204,22.463215
192,屏東縣,輔英科技大學附設醫院,屏東縣東港鎮中山路5號,08-8323146,V,V,,V,V,,V,,,,V,V,V,,V,,120.452734,22.465198
193,屏東縣,枋寮醫療社團法人枋寮醫院,屏東縣枋寮鄉中山路139號,08-8789991,,V,,,,,,,,V,,,,,,,120.596293,22.364024
194,屏東縣,衛生福利部恆春旅遊醫院,屏東縣恆春鎮恒南路168號,08-8892704,,V,,,,,,,,V,,,,,,,120.74482,21.998414
195,屏東縣,瑞興診所,屏東縣屏東市瑞光路二段250號2樓,08-7378888,V,,V,V,,,V,,,,,,,,,,120.507509,22.678934
196,屏東縣,屏安醫療社團法人興安診所,屏東縣屏東市自由路463號,08-7346666,V,,V,V,,,V,,,,,,,,,,120.491986,22.6827
197,屏東縣,寬心診所,屏東縣屏東市中山路40號,08-7333555,V,,V,V,,,V,,,,,,,,,,120.486537,22.671643
198,屏東縣,泰祥診所,屏東縣潮州鎮新生路111號,08-7881777,V,,V,V,,,V,,,,,,,,,,120.538509,22.551186
199,屏東縣,屏東縣萬丹鄉衛生所,屏東縣萬丹鄉萬丹路一段501號,08-7772049,,V,,,,,,,,V,,,,,,,120.488551,22.594946
200,屏東縣,屏東縣鹽埔鄉衛生所,屏東縣鹽埔鄉勝利路187號,08-7932474,,V,,,,,,,,V,,,,,,,120.578616,22.760308
201,屏東縣,屏東縣高樹鄉衛生所,屏東縣高樹鄉南昌路12之2號,08-7962026,,V,,,,,,,,V,,,,,,,120.594296,22.817079
202,屏東縣,屏東縣獅子鄉衛生所,屏東縣獅子鄉楓林村2巷31號,08-8771324,,V,,,,,,,,V,,,,,,,120.6975,22.2105
203,宜蘭縣,國立陽明交通大學附設醫院,宜蘭縣宜蘭市新民路152號,03-9325192,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,121.754029,24.757853
204,宜蘭縣,臺北榮民總醫院蘇澳分院,宜蘭縣蘇澳鎮蘇濱路一段301號,03-9905106,V,V,V,V,V,V,V,V,,,V,V,V,V,V,V,121.848611,24.614096
205,宜蘭縣,臺北榮民總醫院員山分院,宜蘭縣員山鄉榮光路386號,03-9222141,V,,,V,V,V,V,V,,,V,V,V,,V,V,121.687824,24.721919
206,宜蘭縣,醫療財團法人羅許基金會羅東博愛醫院,宜蘭縣羅東鎮南昌街83號,03-9543131,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,121.771407,24.671783
207,宜蘭縣,天主教靈醫會醫療財團法人羅東聖母醫院,宜蘭縣羅東鎮中正南路160號,03-9544106,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,121.770714,24.671434
208,宜蘭縣,宜蘭員山醫療財團法人宜蘭員山醫院,宜蘭縣員山鄉深溝村尚深路91號,03-9220292,,,,,,,,,,,V,V,V,V,V,V,121.721579,24.721464
209,花蓮縣,衛生福利部花蓮醫院,花蓮縣花蓮市中正路600號,03-8358141,V,V,,V,V,V,V,,,,V,V,V,V,V,,121.61118,23.979479
210,花蓮縣,衛生福利部玉里醫院,花蓮縣玉里鎮中華路448號,03-8886141,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,121.320848,23.34749
211,花蓮縣,國軍花蓮總醫院附設民眾診療服務處,花蓮縣新城鄉嘉里村嘉里路163號,03-8266694,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,121.6074,24.024429
212,花蓮縣,臺北榮民總醫院鳳林分院,花蓮縣鳳林鎮鳳信里中正路一段2號,03-8764539,V,,,V,V,V,V,,,,V,V,V,V,V,,121.439215,23.727428
213,花蓮縣,臺北榮民總醫院玉里分院,花蓮縣玉里鎮泰昌里新興街91號,03-8883141,V,,,V,V,V,V,,,,V,V,V,V,V,,121.312031,23.339213
214,花蓮縣,佛教慈濟醫療財團法人花蓮慈濟醫院,花蓮縣花蓮市中央路三段707號,03-8561825,V,,V,V,V,V,V,,,,V,V,V,V,V,,121.592282,23.995729
215,花蓮縣,臺灣基督教門諾會醫療財團法人門諾醫院壽豐分院,花蓮縣壽豐鄉共和村魚池52號,03-8664600,,,,,,,,,,,V,V,,,,,121.507,23.864
216,臺東縣,衛生福利部臺東醫院,臺東縣臺東市文化里五權街1號,089-324112,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,121.149852,22.757808
217,臺東縣,臺北榮民總醫院臺東分院,臺東縣臺東市南榮里更生路1000號,089-222995,V,,,V,,,,,,,V,V,,,V,,121.132431,22.772345
218,臺東縣,東基醫療財團法人台東基督教醫院,臺東縣臺東市開封街350號,089-960888,V,,V,V,,,V,,,,V,V,,,V,,121.146016,22.763821
219,澎湖縣,衛生福利部澎湖醫院,澎湖縣馬公市中正路10號,06-9261151,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,119.565423,23.564553
220,金門縣,衛生福利部金門醫院,金門縣金湖鎮新市里復興路2號,082-332546,V,V,,V,V,V,V,,V,,V,V,V,V,V,,118.418001,24.440588
221,金門縣,曾杏榕診所,金門縣金湖鎮新湖里市港二路170號1樓,082-335666,,,,,,,,,,,V,V,,,V,,118.411332,24.437352
222,連江縣,連江縣立醫院,連江縣南竿鄉復興村217號,083-623995,V,,,,,,V,,,,,V,,,V,,119.949168,26.160844
